census_block_group,1,2,3,4,5,6,7
510594151001,1,2,0,1,0,0,0
510594151002,1,1,0,0,1,0,0
510594151003,0,1,1,1,0,0,0
510594152001,2,1,0,0,0,0,0
510594152002,3,1,0,0,0,0,0
510594152003,4,2,0,0,0,0,0
510594152004,1,1,1,0,0,0,0
510594153001,0,0,0,1,0,0,0
510594153002,2,1,1,1,0,0,0
510594153003,2,2,1,1,1,0,0
510594154011,1,2,0,1,1,0,0
510594154012,2,4,1,1,1,0,0
510594154013,1,2,0,1,0,1,0
510594154021,1,2,1,0,0,0,0
510594154022,1,1,0,1,0,0,1
510594154023,2,1,0,1,1,0,0
510594155001,1,2,1,1,0,0,0
510594155002,1,1,1,1,0,0,0
510594155003,2,2,1,3,1,0,0
510594155004,2,1,1,1,0,0,0
510594156001,1,3,1,1,0,0,0
510594156002,1,1,1,2,0,0,0
510594157001,1,1,1,1,0,0,0
510594157002,1,2,2,2,1,0,0
510594158001,0,2,1,1,0,0,0
510594158002,1,2,1,2,0,0,0
510594158003,1,2,1,2,1,0,0
510594159001,0,2,1,1,0,0,0
510594159002,1,4,1,2,0,0,0
510594160001,1,2,1,1,0,0,0
510594160002,2,3,1,3,1,0,0
510594160003,0,1,0,0,0,0,0
510594161001,2,3,2,1,1,1,0
510594161002,1,2,0,0,0,0,0
510594162001,0,1,1,1,1,1,0
510594162002,0,2,3,3,1,0,0
510594163001,0,1,0,2,0,1,0
510594163002,1,2,1,0,0,0,1
510594201001,1,1,1,0,0,0,0
510594201002,1,3,1,3,1,0,0
510594202011,1,1,1,0,0,0,0
510594202012,1,1,1,1,0,0,1
510594202013,0,1,1,0,1,0,0
510594202021,4,3,1,0,0,0,0
510594202022,1,1,0,0,0,0,0
510594202031,2,3,2,1,1,0,0
510594203001,1,3,0,1,1,1,0
510594203002,2,2,1,1,1,0,0
510594203003,0,1,1,0,0,1,0
510594203004,1,1,0,1,0,0,0
510594204001,2,3,1,0,0,0,0
510594204002,7,2,0,1,0,0,0
510594205011,5,4,0,0,0,0,0
510594205021,2,2,1,0,0,0,0
510594205022,2,2,0,0,0,0,0
510594205031,2,3,0,0,0,0,0
510594205032,3,1,1,1,0,0,0
510594205033,2,1,0,0,0,0,0
510594206001,0,3,1,1,0,0,0
510594206002,2,4,2,1,1,0,0
510594207001,1,2,1,1,0,0,0
510594207002,1,3,1,2,1,0,0
510594208001,0,1,0,0,0,0,0
510594208002,0,1,1,0,0,0,0
510594208003,1,2,1,1,0,0,1
510594210011,2,3,1,2,1,0,0
510594210021,4,1,1,1,0,0,0
510594210022,1,3,1,2,1,0,0
510594210023,1,1,1,1,0,0,0
510594211011,0,0,0,1,1,0,0
510594211012,2,3,2,1,0,0,1
510594211013,2,3,2,2,1,0,0
510594211021,2,2,1,0,1,0,0
510594211022,2,3,1,1,1,0,0
510594211031,0,2,1,1,1,0,0
510594211032,1,2,2,2,0,0,0
510594211033,1,1,1,0,0,0,0
510594211034,2,2,0,1,0,0,0
510594212001,1,2,1,1,0,0,0
510594213001,2,2,2,1,1,0,0
510594213002,2,2,1,1,0,0,0
510594214001,3,2,2,3,0,1,1
510594214002,1,2,0,0,0,0,0
510594214003,1,1,1,2,0,0,0
510594214004,1,0,3,2,1,0,0
510594215001,2,1,1,1,1,0,0
510594215002,1,2,1,2,2,0,1
510594215003,3,1,0,1,1,0,0
510594216001,2,1,1,3,1,0,0
510594216002,3,2,1,2,1,1,0
510594216003,2,1,1,0,2,0,0
510594217011,1,2,1,1,2,0,1
510594217012,2,1,1,1,1,0,0
510594217021,1,1,0,0,1,0,1
510594217022,2,2,1,1,1,1,1
510594218001,1,2,2,2,0,0,0
510594218002,2,1,2,2,2,0,0
510594218003,1,2,0,0,0,0,1
510594219001,0,0,0,1,1,0,0
510594219002,0,0,1,1,0,0,0
