census_block_group,1,2,3,4,5,6,7,total_pop
510594307001,118,131,99,114,41,4,18,1631
510594307002,52,131,59,70,41,36,13,1418
510594308011,156,234,125,65,37,16,4,1652
510594308012,193,229,202,125,78,68,34,3035
510594308021,88,174,107,68,11,0,10,1237
510594308022,379,184,119,94,0,0,0,1549
510594308023,366,217,104,8,0,0,8,1246
510594309011,101,248,205,67,33,0,17,1844
510594309012,56,170,195,87,49,50,53,2411
510594309021,49,157,120,51,11,2,18,1223
510594309022,64,205,97,236,32,57,9,2321
510594310011,50,229,127,111,67,30,0,1958
510594310012,79,67,58,97,14,0,0,887
510594310013,74,260,188,140,12,13,0,2013
510594310021,127,199,144,159,81,11,13,2306
510594313001,69,138,74,95,16,0,0,1060
510594313002,87,161,137,154,24,17,6,1785
510594313003,44,114,77,54,87,28,0,1386
510594314001,78,122,109,59,45,18,0,1287
510594314002,56,182,93,98,56,35,42,1990
510594314003,61,187,137,65,33,17,0,1439
510594315001,170,343,80,175,39,36,5,2336
510594315002,355,398,151,181,77,20,13,3002
510594316001,1130,584,221,204,26,0,0,4184
510594316002,77,89,63,48,51,23,0,1093
510594316003,114,108,105,151,13,110,62,2645
510594318011,101,191,132,107,62,47,31,2310
510594318012,113,266,146,107,93,4,0,2087
510594318021,84,213,80,127,56,31,10,1857
510594318022,52,99,148,73,22,14,31,1524
510594319001,59,206,84,117,43,0,7,1531
510594319002,61,149,88,140,40,10,4,1563
510594320001,68,199,145,183,42,27,29,2398
510594320002,79,138,121,84,9,24,0,1275
510594321001,278,254,173,43,0,25,0,1681
510594321002,86,281,94,93,109,17,18,2230
510594322011,211,366,145,188,28,0,0,2404
510594322021,158,294,203,92,109,0,35,2660
510594322022,134,243,121,181,27,0,19,2138
510594323001,109,263,132,160,79,0,0,2153
510594323002,0,130,88,59,24,28,8,1191
510594323003,77,141,168,160,37,11,5,1863
510594324011,33,273,147,194,68,22,0,2404
510594324012,20,136,91,117,32,19,0,1389
510594324021,42,168,86,143,42,0,0,1454
510594324022,33,189,80,117,96,25,0,1882
510594324023,114,168,94,144,33,12,7,1672
510594325001,45,239,110,98,35,8,21,1698
510594325002,103,370,114,97,43,0,0,1905
510594325003,39,209,135,63,103,27,0,1883
510594326001,122,237,91,209,97,72,0,2731
510594326002,39,272,129,152,59,14,0,2021
510594327011,79,423,249,171,84,46,10,3289
510594327021,126,167,188,171,99,35,10,2667
510594327022,88,173,223,132,20,20,0,1987
510594328001,107,305,106,130,97,23,0,2302
510594401001,149,258,83,108,0,0,0,1512
510594401002,57,319,134,179,46,0,8,2226
510594401003,179,136,160,218,71,18,10,2537
510594401004,56,79,50,116,14,38,10,1222
510594402011,543,458,162,158,21,0,0,2857
510594402021,89,289,166,44,0,0,10,1524
510594402022,45,112,0,32,0,0,0,415
510594402023,81,258,165,127,85,0,0,2408
510594402024,267,124,110,170,0,0,0,1613
510594403001,94,207,89,48,48,0,3,1290
510594403002,36,183,93,84,33,12,9,1427
510594405011,86,142,102,106,65,20,39,2067
510594405012,87,179,129,167,11,16,0,1778
510594405013,16,217,113,74,16,7,0,1256
510594405021,84,61,57,66,15,31,10,5579
510594405022,33,196,73,102,40,4,7,1400
510594405023,0,0,0,0,0,0,0,992
510594406001,121,246,226,250,65,25,12,3065
510594407011,99,357,181,183,99,53,11,3105
510594407021,159,249,175,173,103,10,7,2609
510594407022,67,75,69,28,58,6,11,1003
510594407023,49,202,97,162,62,0,31,2061
510594408001,290,284,247,129,39,36,0,2591
510594408002,65,149,112,39,16,30,23,1385
510594408003,38,307,141,107,67,41,30,2534
510594501001,88,173,0,61,0,0,0,693
510594501002,237,383,224,125,0,8,0,2386
510594501003,44,136,66,84,0,30,29,1368
510594501004,92,176,104,31,11,0,0,1005
510594502001,97,154,75,233,88,35,19,2640
510594502002,177,269,52,31,78,3,0,1517
510594503001,37,90,96,64,13,0,11,966
510594503002,50,88,49,14,0,0,15,618
510594503003,212,281,179,54,59,42,0,2209
510594503004,44,85,49,17,21,0,44,948
510594504001,79,122,57,58,8,30,7,1074
510594504002,97,128,138,135,37,14,10,1761
510594505001,56,107,69,18,70,5,22,1255
510594505002,76,121,93,91,24,54,56,2047
510594506011,80,152,111,95,18,0,6,1297
510594506012,53,129,49,25,16,16,50,1251
510594506013,37,140,99,123,4,11,0,1276
510594506014,37,42,52,27,16,0,0,485
510594506021,372,142,74,24,0,0,0,1019
510594506022,171,178,98,157,21,0,0,1694
510594506023,96,90,158,99,54,0,18,1655
510594507011,113,300,217,164,91,40,13,3046
510594507021,108,116,106,179,52,99,30,2790
510594507022,210,167,98,131,0,35,23,1900
510594508001,44,107,77,65,36,0,0,997
510594508002,85,169,65,58,72,0,0,1281
510594508003,75,142,73,61,13,7,39,1296
510594509001,66,90,89,29,10,5,19,950
510594509002,51,108,39,43,10,14,0,727
510594510001,90,88,46,61,25,16,11,1020
510594510002,110,173,72,75,23,0,27,1564
510594511001,74,165,49,44,23,25,0,1036
