census_block_group,1,2,3,4,5,6,7,total_pop
510594922021,105,235,138,114,32,0,0,1657
510594922022,70,265,279,128,135,19,0,2870
510594922023,17,176,127,123,87,21,19,2013
510594922031,0,98,31,84,40,0,0,895
510594922032,41,168,117,57,37,0,0,1202
510594922033,38,192,63,206,46,32,14,2043
510594923001,106,170,126,112,48,36,1,1833
510594923002,36,164,107,106,32,13,15,1547
510594924001,218,287,139,80,18,47,0,2020
510594924002,284,261,145,164,55,9,13,2439
510594925001,69,288,146,52,66,62,0,2116
510594925002,34,336,152,106,52,15,1,2048
510599801001,0,0,0,0,0,0,0,0
510599802001,0,0,0,0,0,0,0,0
510599803001,0,0,0,0,0,0,0,0
