census_block_group,1,2,3,4,5,6,7
510594315002,34,38,14,17,7,2,1
510594316001,107,55,21,19,2,0,0
510594316002,7,8,6,5,5,2,0
510594316003,11,10,10,14,1,10,6
510594318011,10,18,12,10,6,4,3
510594318012,11,25,14,10,9,0,0
510594318021,8,20,8,12,5,3,1
510594318022,5,9,14,7,2,1,3
510594319001,6,19,8,11,4,0,1
510594319002,6,14,8,13,4,1,0
510594320001,6,19,14,17,4,3,3
510594320002,7,13,11,8,1,2,0
510594321001,26,24,16,4,0,2,0
510594321002,8,27,9,9,10,2,2
510594322011,20,35,14,18,3,0,0
510594322021,15,28,19,9,10,0,3
510594322022,13,23,11,17,3,0,2
510594323001,10,25,12,15,7,0,0
510594323002,0,12,8,6,2,3,1
510594323003,7,13,16,15,3,1,0
510594324011,3,26,14,18,6,2,0
510594324012,2,13,9,11,3,2,0
510594324021,4,16,8,14,4,0,0
510594324022,3,18,8,11,9,2,0
510594324023,11,16,9,14,3,1,0
510594325001,4,23,10,9,3,1,2
510594325002,10,35,11,9,4,0,0
510594325003,4,20,13,6,10,3,0
510594326001,12,22,9,20,9,7,0
510594326002,4,26,12,14,6,1,0
510594327011,7,40,24,16,8,4,1
510594327021,12,16,18,16,9,3,1
510594327022,8,16,21,12,2,2,0
510594328001,10,29,10,12,9,2,0
510594401001,14,24,8,10,0,0,0
510594401002,5,30,13,17,4,0,1
510594401003,17,13,15,21,7,2,1
510594401004,5,7,5,11,1,4,1
510594402011,51,43,15,15,2,0,0
510594402021,8,27,16,4,0,0,1
510594402022,4,11,0,3,0,0,0
510594402023,8,24,16,12,8,0,0
510594402024,25,12,10,16,0,0,0
510594403001,9,20,8,5,5,0,0
510594403002,3,17,9,8,3,1,1
510594405011,8,13,10,10,6,2,4
510594405012,8,17,12,16,1,2,0
510594405013,2,21,11,7,2,1,0
510594405021,8,6,5,6,1,3,1
510594405022,3,19,7,10,4,0,1
510594405023,0,0,0,0,0,0,0
510594406001,11,23,21,24,6,2,1
510594407011,9,34,17,17,9,5,1
510594407021,15,24,17,16,10,1,1
510594407022,6,7,7,3,5,1,1
510594407023,5,19,9,15,6,0,3
510594408001,27,27,23,12,4,3,0
510594408002,6,14,11,4,2,3,2
510594408003,4,29,13,10,6,4,3
510594501001,8,16,0,6,0,0,0
510594501002,22,36,21,12,0,1,0
510594501003,4,13,6,8,0,3,3
510594501004,9,17,10,3,1,0,0
510594502001,9,15,7,22,8,3,2
510594502002,17,25,5,3,7,0,0
510594503001,3,9,9,6,1,0,1
510594503002,5,8,5,1,0,0,1
510594503003,20,27,17,5,6,4,0
510594503004,4,8,5,2,2,0,4
510594504001,7,12,5,5,1,3,1
510594504002,9,12,13,13,3,1,1
510594505001,5,10,7,2,7,0,2
510594505002,7,11,9,9,2,5,5
510594506011,8,14,10,9,2,0,1
510594506012,5,12,5,2,2,2,5
510594506013,3,13,9,12,0,1,0
510594506014,3,4,5,3,2,0,0
510594506021,35,13,7,2,0,0,0
510594506022,16,17,9,15,2,0,0
510594506023,9,9,15,9,5,0,2
510594507011,11,28,21,15,9,4,1
510594507021,10,11,10,17,5,9,3
510594507022,20,16,9,12,0,3,2
510594508001,4,10,7,6,3,0,0
510594508002,8,16,6,5,7,0,0
510594508003,7,13,7,6,1,1,4
510594509001,6,9,8,3,1,0,2
510594509002,5,10,4,4,1,1,0
510594510001,9,8,4,6,2,2,1
510594510002,10,16,7,7,2,0,3
510594511001,7,16,5,4,2,2,0
510594511002,7,16,4,4,4,1,2
510594512001,2,14,2,8,1,0,1
510594512002,5,13,7,4,2,0,0
510594513001,4,13,7,8,2,1,0
510594513002,11,18,9,7,4,0,0
510594514001,31,14,13,8,4,7,0
510594514002,23,4,5,5,3,0,0
510594515011,29,13,2,1,11,5,0
510594515012,1,7,0,6,2,0,0
510594515013,48,25,8,3,0,0,0
510594515014,20,14,12,3,2,0,2
510594515021,19,23,12,5,4,1,0
510594515022,49,25,19,16,4,8,4
